,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,lname,sorted_date
16795,50064708,'CESCA,MANHATTAN,166,W 75TH ST,10023.0,2127586699,Italian,06/28/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,41.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,'cesca,2017-06-28
66929,50064708,'CESCA,MANHATTAN,166,W 75TH ST,10023.0,2127586699,Italian,06/28/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,'cesca,2017-06-28
81206,50064708,'CESCA,MANHATTAN,166,W 75TH ST,10023.0,2127586699,Italian,06/28/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,41.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,'cesca,2017-06-28
207225,50064708,'CESCA,MANHATTAN,166,W 75TH ST,10023.0,2127586699,Italian,06/28/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,41.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,'cesca,2017-06-28
250259,50064708,'CESCA,MANHATTAN,166,W 75TH ST,10023.0,2127586699,Italian,06/28/2017,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,41.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,'cesca,2017-06-28
346663,50064708,'CESCA,MANHATTAN,166,W 75TH ST,10023.0,2127586699,Italian,06/28/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,41.0,Not Yet Graded,,08/28/2017,Pre-permit (Operational) / Initial Inspection,'cesca,2017-06-28
2036,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,04/07/2015,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,11.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2015-04-07
28875,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,04/07/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2015-04-07
282431,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,04/07/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11.0,,,08/28/2017,Cycle Inspection / Initial Inspection,1 darbar,2015-04-07
305296,41046505,1 DARBAR,MANHATTAN,152,EAST   46 STREET,10017.0,2126814500,Indian,04/07/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,08/28/2017,Administrative Miscellaneous / Initial Inspection,1 darbar,2015-04-07
